venta_id,fecha,año,mes,trimestre,modelo,marca,tipo,segmento,precio_lista,precio_venta,descuento_pct,descuento_monto,precio_final,accesorios_monto,precio_total,costo_vehiculo,margen_bruto,margen_pct,ganancia_neta,vendedor,zona,senioridad,comision_vendedor,financiacion,origen_lead,permuta,valor_permuta,num_accesorios,dias_cierre,test_drive,rating_cliente
VTA-00139,2022-01-01,2022,1,Q1,Chevrolet S10,Chevrolet,Pickup,Premium,23000000,22050000,0,0,22050000,376197,22426197,16500000,5550000,25.2,5700478,Joaquín Torres,Sur,Semi-Senior,601965,Contado,Instagram,0,0,2,37,1,5
VTA-01519,2022-01-01,2022,1,Q1,Toyota Hilux,Toyota,Pickup,Premium,28000000,28750000,2,575000,28175000,342662,28517662,19800000,8375000,29.7,8512064,Diego Romero,Centro,Junior,619850,Cuotas 12x,Referido,0,0,2,6,1,5
VTA-02982,2022-01-01,2022,1,Q1,Volkswagen T-Cross,Volkswagen,SUV,Intermedio,11500000,11200000,4,448000,10752000,195378,10947378,8200000,2552000,23.7,2630151,Lucía Fernández,Norte,Semi-Senior,282240,Cuotas 36x,Web,1,2250000,1,48,1,5
VTA-01655,2022-01-02,2022,1,Q1,Toyota SW4,Toyota,SUV,Luxury,42000000,42400000,3,1272000,41128000,0,41128000,29500000,11628000,28.3,11628000,Carlos Méndez,Norte,Senior,1324322,Cuotas 24x,Web,1,10050000,0,8,1,4
VTA-02311,2022-01-03,2022,1,Q1,Chevrolet Tracker,Chevrolet,SUV,Intermedio,12500000,12650000,3,379500,12270500,294273,12564773,9000000,3270500,26.7,3388209,Valentina Cruz,Este,Senior,437443,Cuotas 24x,Referido,0,0,1,3,1,5
VTA-02027,2022-01-03,2022,1,Q1,Volkswagen T-Cross,Volkswagen,SUV,Intermedio,11500000,11500000,3,345000,11155000,0,11155000,8200000,2955000,26.5,2955000,Joaquín Torres,Sur,Semi-Senior,304532,Contado,Instagram,0,0,0,15,1,4
VTA-02880,2022-01-04,2022,1,Q1,Chevrolet Onix,Chevrolet,Hatchback,Económico,5800000,5850000,0,0,5850000,593711,6443711,4200000,1650000,28.2,1887484,Carlos Méndez,Norte,Senior,188370,Plan de ahorro,Referido,0,0,3,1,1,2
VTA-00071,2022-01-05,2022,1,Q1,Volkswagen Polo,Volkswagen,Hatchback,Intermedio,7800000,8100000,0,0,8100000,0,8100000,5600000,2500000,30.9,2500000,Carlos Méndez,Norte,Senior,260820,Contado,WhatsApp,0,0,0,9,1,5
VTA-01916,2022-01-05,2022,1,Q1,Ford EcoSport,Ford,SUV,Intermedio,10500000,10300000,0,0,10300000,165672,10465672,7600000,2700000,26.2,2766268,Paula Gómez,Centro,Senior,343505,Contado,Web,1,2100000,1,6,1,4
VTA-02750,2022-01-05,2022,1,Q1,Peugeot 208,Peugeot,Hatchback,Intermedio,8200000,8000000,5,400000,7600000,0,7600000,5900000,1700000,22.4,1700000,Martín López,Oeste,Junior,152000,Plan de ahorro,WhatsApp,1,1250000,0,14,1,3
VTA-03500,2022-01-05,2022,1,Q1,Ford Ranger,Ford,Pickup,Premium,24000000,24500000,5,1225000,23275000,290418,23565418,17200000,6075000,26.1,6191167,Diego Romero,Centro,Junior,512050,Plan de ahorro,Llamada entrante,0,0,2,12,1,5
VTA-02146,2022-01-06,2022,1,Q1,Peugeot 2008,Peugeot,SUV,Intermedio,11000000,10400000,4,416000,9984000,0,9984000,7900000,2084000,20.9,2084000,Sofía Herrera,Sur,Senior,344448,Cuotas 12x,Referido,0,0,0,4,0,4
VTA-02347,2022-01-06,2022,1,Q1,Volkswagen Gol,Volkswagen,Hatchback,Económico,4200000,4100000,0,0,4100000,179897,4279897,3100000,1000000,24.4,1071958,Lucía Fernández,Norte,Semi-Senior,107625,Contado,Web,0,0,1,5,1,5
